Date,avg_sentiment_score,avg_sentiment_label_score,pos_count,neut_count,neg_count,total,pct_positive,pct_neutral,pct_negative,sentiment_score_combined,sentiment_polarization,log_total_sentiment,z_sentiment_score_combined,z_sentiment_polarization,z_log_total_sentiment
2015-01-01,0.9208459258079528,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.3445921480655669,-1.0,0.6931471805599453,-1.1423126738822376,-3.297529182661571,-1.320819012610393
2015-01-02,0.9972523748874664,0.0,1.0,2.0,1.0,4.0,0.25,0.5,0.25,0.6980766624212265,0.0,1.6094379124341003,0.4371631631206415,-0.08115763447485524,-0.6488850763600583
2015-01-03,0.9999414682388306,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6999590277671813,0.0,0.6931471805599453,0.4455741414226665,-0.08115763447485524,-1.320819012610393
2015-01-04,0.6739664673805237,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.17177652716636654,-1.0,0.6931471805599453,-1.9145051925969303,-3.297529182661571,-1.320819012610393
2015-01-05,0.9451522366567092,0.0,1.0,9.0,1.0,11.0,0.0909090909090909,0.8181818181818182,0.0909090909090909,0.6616065656596964,0.0,2.4849066497880004,0.274203728495917,-0.08115763447485524,-0.006886708057115773
2015-01-06,0.9912649137633188,-0.4285714285714285,0.0,4.0,3.0,7.0,0.0,0.5714285714285714,0.4285714285714285,0.5653140110628946,-0.4285714285714285,2.0794415416798357,-0.15606056058097714,-1.4596025836977333,-0.3042222115452213
2015-01-07,0.935170328617096,-0.4,0.0,3.0,2.0,5.0,0.0,0.6,0.4,0.5346192300319672,-0.4,1.791759469228055,-0.29321413589054257,-1.3677062537495417,-0.5151851085897018
2015-01-08,0.9013129770755768,0.25,1.0,3.0,0.0,4.0,0.25,0.75,0.0,0.7059190839529037,0.25,1.6094379124341003,0.4722054770263992,0.7229352525718238,-0.6488850763600583
2015-01-09,0.997582624355952,0.1666666666666666,1.0,5.0,0.0,6.0,0.1666666666666666,0.8333333333333334,0.0,0.7483078370491663,0.1666666666666666,1.9459101490553132,0.661611260185725,0.45490429022293055,-0.40214339653381637
2015-01-10,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682054725899988,-0.08115763447485524,-1.829117413142979
2015-01-11,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682054725899988,-0.08115763447485524,-1.829117413142979
2015-01-12,0.9989262521266936,0.5,1.0,1.0,0.0,2.0,0.5,0.5,0.0,0.8492483764886856,0.5,1.0986122886681098,1.1126441528412225,1.5270281396185026,-1.0234835091222876
2015-01-13,0.9979259570439656,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.6985481699307758,0.0,1.3862943611198906,0.4392700014347786,-0.08115763447485524,-0.8125206120778071
2015-01-14,0.9993946850299836,-0.75,0.0,1.0,3.0,4.0,0.0,0.25,0.75,0.4745762795209886,-0.75,1.6094379124341003,-0.5615042183778067,-2.493436295614892,-0.6488850763600583
2015-01-15,0.8545374393463134,0.0,1.0,3.0,1.0,5.0,0.2,0.6,0.2,0.5981762075424194,0.0,1.791759469228055,-0.009222316804260807,-0.08115763447485524,-0.5151851085897018
2015-01-16,0.9787516593933104,-0.25,0.0,3.0,1.0,4.0,0.0,0.75,0.25,0.6101261615753173,-0.25,1.6094379124341003,0.044173695981935886,-0.8852505215215343,-0.6488850763600583
2015-01-17,0.9164223670959472,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.34149565696716294,-1.0,0.6931471805599453,-1.156148733655149,-3.297529182661571,-1.320819012610393
2015-01-18,0.9996678829193116,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.3997675180435181,-1.0,0.6931471805599453,-0.895772415006332,-3.297529182661571,-1.320819012610393
2015-01-19,0.8129962980747223,0.5,1.0,1.0,0.0,2.0,0.5,0.5,0.0,0.7190974086523055,0.5,1.0986122886681098,0.5310902218725072,1.5270281396185026,-1.0234835091222876
