Date,Close,High,Low,Open,Volume,RSI,MACD,CCI,WILLR,SMA_50,SMA_200,EMA_50,EMA_200,Bollinger_Upper,Bollinger_Lower,ATR,OBV,CMF,Momentum,ROC,UO
2015-01-01,314.2489929199219,320.43499755859375,314.00299072265625,320.43499755859375,8036550,,,,,,,,,,,,8036550.0,,,,
2015-01-02,315.0320129394531,315.8389892578125,313.56500244140625,314.0790100097656,7860650,,,,,,,,,,,,15897200.0,,,,
2015-01-03,281.0820007324219,315.1499938964844,281.0820007324219,314.84600830078125,33054400,,,,,,,,,,,,-17157200.0,,,,
2015-01-04,264.19500732421875,287.2300109863281,257.61199951171875,281.14599609375,55629100,,,,,,,,,,,,-72786300.0,,,,
2015-01-05,274.4739990234375,278.34100341796875,265.0840148925781,265.0840148925781,43962800,,,,,,,,,331.76746066701304,247.84534450876816,,-28823500.0,,,,
2015-01-06,286.1889953613281,287.5530090332031,272.6960144042969,274.6109924316406,23245700,,,,,,,,,318.35971547579703,250.02909067654664,,-5577800.0,,,,
2015-01-07,294.3370056152344,298.7539978027344,283.0790100097656,286.0769958496094,24866800,,,,,,,,,300.55600165641056,259.5548015662457,,19289000.0,,,,
2015-01-08,283.3489990234375,294.135009765625,282.17498779296875,294.135009765625,19982500,,,,,,,,,301.1797330272991,259.8378695117634,,-693500.0,,,,
2015-01-09,290.4079895019531,291.114013671875,280.5329895019531,282.38299560546875,18718600,,,,,,,,,299.27291367063856,272.22988173951774,,18025100.0,,,,
2015-01-10,274.7959899902344,288.12701416015625,273.96600341796875,287.3030090332031,15264300,,,,,,,,,299.1232297320774,272.5083620647976,,2760800.0,,,,
2015-01-11,265.6600036621094,279.63800048828125,265.03900146484375,274.6080017089844,18200800,,,,,,,,,302.55588016103553,260.8641149561519,,-15440000.0,,-48.5889892578125,-15.461939529650023,
2015-01-12,267.7959899902344,272.2030029296875,265.20001220703125,266.14599609375,18880300,,,,,,,,,295.08786836927277,257.71572049791473,,3440300.0,,-47.23602294921875,-14.994039021138201,
2015-01-13,225.86099243164062,268.2770080566406,219.906005859375,267.3940124511719,72843904,,,,,,,,,307.6274564168116,222.18092981365717,,-69403604.0,,-55.22100830078125,-19.64587136739122,
