Close,High,Low,Open,Volume,Date,avg_sentiment_score,avg_sentiment_label_score,pos_count,neut_count,neg_count,total,pct_positive,pct_neutral,pct_negative
314.2489929199219,320.4349975585937,314.00299072265625,320.4349975585937,8036550,2015-01-01,0.9208459258079528,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
315.0320129394531,315.8389892578125,313.56500244140625,314.0790100097656,7860650,2015-01-02,0.9972523748874664,0.0,1.0,2.0,1.0,4.0,0.25,0.5,0.25
281.0820007324219,315.1499938964844,281.0820007324219,314.84600830078125,33054400,2015-01-03,0.9999414682388306,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
264.19500732421875,287.2300109863281,257.61199951171875,281.14599609375,55629100,2015-01-04,0.6739664673805237,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
274.4739990234375,278.34100341796875,265.0840148925781,265.0840148925781,43962800,2015-01-05,0.9451522366567092,0.0,1.0,9.0,1.0,11.0,0.0909090909090909,0.8181818181818182,0.0909090909090909
286.1889953613281,287.5530090332031,272.6960144042969,274.6109924316406,23245700,2015-01-06,0.9912649137633188,-0.4285714285714285,0.0,4.0,3.0,7.0,0.0,0.5714285714285714,0.4285714285714285
294.3370056152344,298.7539978027344,283.0790100097656,286.0769958496094,24866800,2015-01-07,0.935170328617096,-0.4,0.0,3.0,2.0,5.0,0.0,0.6,0.4
283.3489990234375,294.135009765625,282.17498779296875,294.135009765625,19982500,2015-01-08,0.9013129770755768,0.25,1.0,3.0,0.0,4.0,0.25,0.75,0.0
290.4079895019531,291.114013671875,280.5329895019531,282.38299560546875,18718600,2015-01-09,0.997582624355952,0.1666666666666666,1.0,5.0,0.0,6.0,0.1666666666666666,0.8333333333333334,0.0
274.7959899902344,288.12701416015625,273.96600341796875,287.3030090332031,15264300,2015-01-10,,,,,,,,,
265.6600036621094,279.63800048828125,265.0390014648437,274.6080017089844,18200800,2015-01-11,,,,,,,,,
267.7959899902344,272.2030029296875,265.20001220703125,266.14599609375,18880300,2015-01-12,0.9989262521266936,0.5,1.0,1.0,0.0,2.0,0.5,0.5,0.0
225.86099243164065,268.2770080566406,219.906005859375,267.3940124511719,72843904,2015-01-13,0.9979259570439656,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
178.10299682617188,223.8939971923828,171.50999450683594,223.8939971923828,97638704,2015-01-14,0.9993946850299836,-0.75,0.0,1.0,3.0,4.0,0.0,0.25,0.75
209.843994140625,229.06700134277344,176.89700317382812,176.89700317382812,81773504,2015-01-15,0.8545374393463134,0.0,1.0,3.0,1.0,5.0,0.2,0.6,0.2
208.0970001220703,221.59100341796875,199.77099609375,209.07000732421875,38421000,2015-01-16,0.9787516593933104,-0.25,0.0,3.0,1.0,4.0,0.0,0.75,0.25
