Date,Close,High,Low,Open,Volume,RSI,MACD,CCI,WILLR,SMA_50,SMA_200,EMA_50,EMA_200,Bollinger_Upper,Bollinger_Lower,ATR,OBV,CMF,Momentum,ROC,UO,cluster
2015-01-28,233.9149932861328,266.5350036621094,227.04600524902344,263.3510131835937,44352200,44.2085562902158,-7.840537015465401,45.2865052690912,-56.96333200808783,,,,,281.45432953732586,227.51686797243977,23.556605773558847,-7211704.0,-0.0973783095821379,23.57598876953125,11.208567247769045,48.7152340931647,1_0
2015-01-29,233.51300048828125,238.70599365234372,220.7120056152344,233.34800720214844,32213400,44.09512591385668,-8.026737061611612,-0.8930283276443527,-66.04484605131468,,,,,283.41599024075447,219.8216074154955,23.10222709653111,-39425104.0,-0.0989596228962772,18.652008056640625,8.680965235034405,49.45309790460576,5_1
2015-01-30,226.4250030517578,242.8509979248047,225.8390045166016,232.77200317382807,26605200,42.04658909429742,-8.646571798552998,-4.390179320869922,-72.21486734996803,,,,,283.52505792720314,208.79534002201564,22.609800670677945,-66030304.0,-0.1112953321435051,15.110000610351562,7.150462785784122,45.43832280602884,4_1
2015-01-31,217.4640045166016,233.5039978027344,216.3090057373047,226.4409942626953,23348200,39.54529073729992,-9.748498363934855,-51.79694436236267,-80.01531484085118,,,,,265.88085207504275,204.03595090347287,22.176074336038727,-89378504.0,-0.1148933492411585,-9.432998657226562,-4.157392352158942,40.2212621679113,4_4
2015-02-01,226.9720001220703,231.57400512695312,212.01499938964844,216.86700439453125,29128500,43.39316481484986,-9.742264560718752,-54.78806910376606,-79.06668874287556,,,,,239.63576061093625,215.67983997500124,21.968249208455216,-60250004.0,-0.0893275280538604,-6.434005737304688,-2.7565724856202363,41.32982709503654,4_4
2015-02-02,238.22900390625,242.1750030517578,222.65899658203125,226.49099731445312,30612100,47.64220271375621,-8.728362965036865,-12.669779371217077,-68.26663551403239,,,,,242.6121647399472,214.42904009403716,21.775055372770986,-29637904.0,-0.0023999789687764,5.350006103515625,2.297333015855501,44.92413996658065,5_4
2015-02-03,227.26800537109372,245.95700073242188,224.4830017089844,237.45399475097656,40783700,44.16587611823496,-8.708908743702722,-32.194104380928685,-83.64503093039883,,,,,240.4491639851544,214.09404280195503,21.75151054540501,-70421604.0,0.0552397507635747,-20.57899475097656,-8.303104229964832,40.47660075031206,5_3
2015-02-04,226.85299682617188,230.05799865722656,221.11300659179688,227.5110015869141,26594300,44.03486233620784,-8.627526103862579,-70.85906513873367,-84.76106673144052,,,,,240.51720192098884,214.19720237588612,20.756690023232185,-97015904.0,0.0393109348847702,-26.865005493164062,-10.58852948847953,44.42725740487467,5_3
2015-02-05,217.11099243164065,239.40499877929688,214.7250061035156,227.6649932861328,22516400,40.96302562253548,-9.242585342254046,-77.23653962921237,-94.76630871273709,,,,,240.6602012864052,213.91299817648544,21.059561666968964,-119532304.0,0.0267186920104396,-56.36199951171875,-20.609713270476163,37.34588960929723,3_4
2015-02-06,222.26600646972656,230.50999450683597,216.23199462890625,216.92300415039065,24435300,43.22018222969008,-9.207914561975455,-75.69714556583298,-89.47200162979388,,,,,240.323802389483,212.3669996124701,20.53904092847088,-95097004.0,0.0378220767151642,-41.20899963378906,-15.640572608089675,39.78390589430661,5_3
2015-02-07,227.7539978027344,230.2989959716797,222.60699462890625,222.63299560546875,21604200,45.604524646624334,-8.638028863546026,-49.96175617660271,-83.83571991051805,,,,,232.40214109553656,216.0986584650103,19.58422138504217,-73492804.0,0.0353005787758528,-6.1609954833984375,-2.633860872638505,43.06387670645015,5_3
2015-02-08,223.41200256347656,229.43800354003903,221.07699584960935,227.6929931640625,17145200,44.0291791043897,-8.439468134705379,-57.52119206206789,-88.2950397066371,,,,,231.052141735348,215.906256702152,18.73153992795477,-90638004.0,0.0069061206034877,-10.100997924804688,-4.325668336959081,38.4631182770047,5_3
2015-02-09,220.1100006103516,223.9770050048828,217.0189971923828,223.38900756835935,27791300,42.81784114196811,-8.45113190028232,-88.89774972477687,-87.24493856213739,,,,,229.20518617257568,215.0560137785962,17.841096300419377,-118429304.0,-0.0058142329386736,-6.31500244140625,-2.7890040217699466,33.89467532696639,4_3
